,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
91,G Herbo,PTSD,1C8ux1YWLMHCenYJFiIV4Z,74,0.883,0.808,1,-3.158,0,0.182,0.0313,0.0,0.207,0.806,119.01,232065,4
92,Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,76,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948,242181,4
93,The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,80,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4
94,Wiz Khalifa,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,77,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,234334,4
95,Bad Bunny,La Difícil,6NfrH0ANGmgBXyxgV2PeXt,80,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,163084,4
96,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,76,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
97,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,80,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4
98,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,81,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
99,Carly Pearce,I Hope You’re Happy Now,0Al3wN3keprGTSgG8NBwjr,72,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,198689,4
100,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,76,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003,160212,4
101,Pop Smoke,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,79,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,213333,4
102,Ariana Grande,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,79,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,167990,4
103,$NOT,GOSHA,0j8ppsOOawdPCJnSTcXgOy,74,0.847,0.448,0,-10.14,1,0.416,0.81,1.35e-05,0.325,0.488,79.975,120000,4
104,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",7hxHWCCAIIxFLCzvDgnQHX,78,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,4
105,Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),6NebrV4ZigAoXIRbe11hxh,72,0.394,0.747,8,-4.446,1,0.0627,0.13,0.0,0.0747,0.776,203.918,170560,4
106,Ritt Momney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,77,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
107,21 Savage,Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,73,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,193839,4
108,Bee Gees,Stayin Alive,5ubvP9oKmxLUVq506fgLhk,80,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4
109,Tory Lanez,Broke In A Minute,4xqIYGwwZTEem9U8A42SPF,74,0.929,0.7,0,-5.595,0,0.0906,0.144,0.0,0.349,0.802,120.009,132024,4
110,Carin Leon,La Boda Del Huitlacoche - Live,1Tcm4Qi0lbzXofH11MIzJs,81,0.684,0.882,9,-7.963,1,0.0761,0.517,9.81e-05,0.296,0.892,140.545,188417,3
111,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,74,0.752,0.673,10,-5.792,0,0.153,0.0538,0.0,0.133,0.35,164.009,163902,4
112,Bruno Major,Nothing,2IAR0DziHCjSu16gR4ihvy,79,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,162797,3
113,Future,Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,74,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
114,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,83,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3
115,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,78,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
116,Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),2aWVaW1p2kUc5yuKwBmRJi,75,0.899,0.691,0,-7.554,1,0.0497,0.18,0.000451,0.135,0.865,107.951,125302,4
117,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,78,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
118,Selena Gomez,Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,81,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4
119,The Kid LAROI,GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,74,0.487,0.74,6,-4.973,1,0.0944,0.157,0.0,0.612,0.522,73.779,181688,4
120,Bad Bunny,A Tu Merced,4r9jkMEnArtWGH2rL2FZl0,84,0.86,0.791,0,-4.784,1,0.0568,0.169,0.000106,0.106,0.887,92.023,175918,4
121,Penelope Scott,Rät,4blPH3Uy89WnOnYlIv7Ev4,76,0.609,0.449,5,-13.291,0,0.249,0.326,0.000115,0.147,0.309,143.854,194165,4
122,Chris Stapleton,Starting Over,3K07bGe8iljQ3mOKArHLDo,72,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4
123,Lil Baby,Emotionally Scarred,7ge7BHazYbVKi8qyZUX1Bm,74,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,197530,4
124,Key Glock,Mr. Glock,1ipSpQfzBbhPFhYm6tfVIz,71,0.804,0.946,7,-5.949,1,0.352,0.002,0.0,0.359,0.745,150.141,146880,4
125,Yung Gravy,oops!,7L6G0wpIUiPXuvoo7qhb06,72,0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902,139760,4
126,Tems,Free Mind,2mzM4Y0Rnx2BDZqRnhQ5Q6,74,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,247579,5
127,Brent Faiyaz,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,74,0.505,0.267,9,-13.763,0,0.05,0.279,0.0,0.096,0.439,143.929,247080,4
128,Mac Miller,Good News,1DWZUa5Mzf2BwzpHtgbHPY,75,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4
129,Tenille Arts,Somebody Like That,3hboOw4dS0aXGuP0fyyvbC,72,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,198209,4
130,Lee Brice,One Of Them Girls,6uyiyatWPCqC59Mm4rO8xL,72,0.643,0.79,4,-6.079,1,0.0461,0.29,0.0,0.107,0.808,95.981,188893,4
131,Lil Uzi Vert,Myron,56uXDJRCuoS7abX3SkzHKQ,73,0.771,0.654,8,-6.976,0,0.298,0.055,0.0,0.214,0.573,155.047,224955,4
132,Polo G,Go Stupid,4PklAHGXT5ityno3IA8SKd,72,0.92,0.833,1,-3.18,1,0.253,0.0277,0.0,0.0596,0.645,141.034,165726,4
133,Ava Max,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,81,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
134,Playboi Carti,Stop Breathing,2lLG56qpLP3UbcLuzMvkWX,74,0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,218943,4
135,Rod Wave,Rags2Riches 2 (feat. Lil Baby),40TPiJpvwGIyvPjJMDTKfy,72,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,235988,4
136,Alexander 23,IDK You Yet,0j1Ia2lQWrcXrQZI4AdJlk,78,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,184638,1
137,Conan Gray,Wish You Were Sober,0kn2gu8Pd03DiYHzRvX2Xk,79,0.701,0.728,2,-5.226,1,0.0468,0.0178,0.0,0.17,0.696,91.071,168880,4
138,Don Toliver,Cardigan,0Li1OuXXfi7950ilZUFGkF,76,0.747,0.497,4,-6.542,0,0.0401,0.248,0.0,0.138,0.0663,142.046,158709,4
139,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,77,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
140,Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,79,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4
141,Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,76,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252,4
142,Kid Cudi,Tequila Shots,30KctD1WsHKTIYczXjip5a,73,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4
143,The Neighbourhood,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,75,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,217027,4
144,XXXTENTACION,Riot,4aOOExMBUyxKnEYb39SrTg,74,0.509,0.542,3,-8.027,0,0.442,0.019,0.00639,0.23,0.151,97.767,78681,4
145,Tems,Higher,2QdSb68BzZGMgCbsrFmSLc,74,0.609,0.581,2,-10.854,1,0.277,0.509,0.0,0.283,0.528,102.964,196204,3
146,Bad Bunny,Bichiyal,4j4w4CXm6BSr0s25wAWrrX,78,0.737,0.766,10,-4.242,0,0.0458,0.31,6.63e-06,0.114,0.662,93.956,196500,4
147,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,73,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,197760,4
148,Juice WRLD,Stay High,21CkzgKCBCq5V4XKjiGSIj,74,0.745,0.5,8,-6.184,1,0.135,0.439,0.0,0.0943,0.433,76.968,168685,4
